title,governorate,city,maker,model,model_year,mileage,car_type,price,minimum_down_payment,link
توسان حالة ممتازه جدا,Giza,Faisal,Hyundai,Tucson,2021,62000.0,Automatic,1600000.0,320000.0,https://contactcars.com/en/used-cars/hyundai-tucson/60355cff84f4?status=Used
ستروينc5 ٢٠٢٣ كسر زيرو كاملة بدون فتحة سقف,Cairo,New Cairo & 5th Settlement,Citroen,C5,2023,11000.0,Automatic,1650000.0,,https://contactcars.com/en/used-cars/citroen-c5/cf1ce35f7697?status=Used
كيا جراند سيراتو 2023خليجي,Cairo,Helwan,Kia,Grand Cerato,2023,8000.0,Automatic,1420000.0,284000.0,https://contactcars.com/en/used-cars/kia-grand_cerato/bef8aeea49bf?status=Used
تويوتا كورولا خليجي وارد السعودية,Giza,Faisal,Toyota,Corolla,2020,68000.0,Automatic,1300000.0,,https://contactcars.com/en/used-cars/toyota-corolla/d69674b80d57?status=Used
اوكتافيا a4 فابريكة بالكامل,Alexandria,Victoria,Skoda,Octavia,2006,150000.0,Manual,500000.0,,https://contactcars.com/en/used-cars/skoda-octavia/bef974302d2e?status=Used
Mercedes C180 Avantgarde,Cairo,New Cairo & 5th Settlement,Mercedes,C180,2022,30000.0,Automatic,3050000.0,610000.0,https://contactcars.com/en/used-cars/mercedes-c180/795fb5cf2dc5?status=Used
خليجي فابريكة بحالة ممتازة,Cairo,New Cairo & 5th Settlement,Nissan,Tiida,2006,204000.0,Automatic,495000.0,,https://contactcars.com/en/used-cars/nissan-tiida/9d5afe71bf96?status=Used
اوبل فيكترا,Giza,Faisal,OPEL,Vectra,2001,286000.0,Automatic,270000.0,,https://contactcars.com/en/used-cars/opel-vectra/49bc851a280d?status=Used
سكودا كودياك ديناميك ٢٠١٩ بحالة الزيرو صيانة منتظمة توكيل ٧ راكب,Ismailia,Ismailia,Skoda,KODIAQ,2019,60000.0,Automatic,2200000.0,440000.0,https://contactcars.com/en/used-cars/skoda-kodiaq/853bc829ff4c?status=Used
E240 2005 استخدام بسيط,Cairo,New Cairo & 5th Settlement,Mercedes,E240,2005,136000.0,Automatic,1300000.0,,https://contactcars.com/en/used-cars/mercedes-e240/817e99a2fdfa?status=Used
دايو نوبيرا 2005 بحالة جيدة,Cairo,Mokattam,Daewoo,Nubira,2005,215000.0,Manual,270000.0,,https://contactcars.com/en/used-cars/daewoo-nubira/575c15796291?status=Used
اوبل استرا بحاله ممتازه جميع الصيانات في التوكيل,Cairo,Nasr City,OPEL,Astra,2018,63000.0,Automatic,850000.0,,https://contactcars.com/en/used-cars/opel-astra/2ac9e5958a10?status=Used
سياره شيفورليه نقل nkrبالصندوق المبرد,Cairo,Gesr El Suez,Chevrolet,NKR,2014,90000.0,Manual,750000.0,,https://contactcars.com/en/used-cars/chevrolet-nkr/2f4da1b4764c?status=Used
skoda vrs 2000cc سكودا,Mansoura,Down Town,Skoda,Octavia,2021,117000.0,Automatic,1900000.0,,https://contactcars.com/en/used-cars/skoda-octavia/4fcdae9bee76?status=Used
Opel vectre c 2008 أوبل فيكترا سي,Qalyubia,El Oobor,OPEL,Vectra,2008,350000.0,Automatic,450000.0,,https://contactcars.com/en/used-cars/opel-vectra/7be4aad8e3b8?status=Used
بورا موديل ٢٠٠٠,Cairo,Heliopolis,Volkswagen,Bora,2002,180000.0,Automatic,400000.0,,https://contactcars.com/en/used-cars/volkswagen-bora/13a7e7f21f5a?status=Used
C200 AMG 4matic,Cairo,Rehab City,Mercedes,C200,2019,72000.0,Automatic,3000000.0,600000.0,https://contactcars.com/en/used-cars/mercedes-c200/5527d1e3f2a2?status=Used
رينو ميجان 2020,Suez,Suez,Renault,Megane,2020,170000.0,Automatic,880000.0,,https://contactcars.com/en/used-cars/renault-megane/2477b98b7d46?status=Used
Verna 2006,Cairo,Almaza,Hyundai,Verna,2006,173000.0,Manual,300000.0,,https://contactcars.com/en/used-cars/hyundai-verna/874e381228e7?status=Used
نيسان صني ٢٠٢١ زيرو,Cairo,Madinaty,Nissan,Sunny,2021,40000.0,Automatic,590000.0,118000.0,https://contactcars.com/en/used-cars/nissan-sunny/efc7d1515fc3?status=Used
C5 aircross كسر زيرو,Cairo,Maadi,Citroen,C5 Aircross,2022,13000.0,Automatic,1480000.0,296000.0,https://contactcars.com/en/used-cars/citroen-c5_aircross/da2101dc9385?status=Used
كوجا ترند ٢٠١٩ فابريكا بالكامل,Giza,6th of October,Ford,Kuga,2019,130000.0,Automatic,1100000.0,,https://contactcars.com/en/used-cars/ford-kuga/b4b349bd918b?status=Used
فورد فوكس ٢٠١٨ فبريكا,Giza,Sheikh Zayed,Ford,Focus,2018,190000.0,Automatic,650000.0,,https://contactcars.com/en/used-cars/ford-focus/3bfb9ff64e51?status=Used
لانوس بسعر مغري,Mansoura,Down Town,Daewoo,Lanos II,1999,400000.0,Manual,177000.0,,https://contactcars.com/en/used-cars/daewoo-lanos_ii/773ceac56483?status=Used
ميتسوبيشي اكسبندر كسر زيزو فابريكا بالكامل خليجي,Cairo,Nasr City,Mitsubishi,Xpander,2023,17000.0,Automatic,1350000.0,270000.0,https://contactcars.com/en/used-cars/mitsubishi-xpander/a35ccaf56e8c?status=Used
mercedes c180 amg 2022 وكيل,Cairo,New Cairo & 5th Settlement,Mercedes,C180,2022,13500.0,Automatic,4000000.0,,https://contactcars.com/en/used-cars/mercedes-c180/a0ee3938de13?status=Used
Bmw116i فابريكا، حاله ممتازة كامله اوتوماتيك,Cairo,Nasr City,BMW,116i,2008,150000.0,Automatic,680000.0,,https://contactcars.com/en/used-cars/bmw-116i/9e865f6ea21c?status=Used
كريم,Giza,Sheikh Zayed,Jeep,Wrangler,2013,265000.0,Automatic,1550000.0,,https://contactcars.com/en/used-cars/jeep-wrangler/de58073ded37?status=Used
تيبو هاتش باك اعلى فئة,Cairo,Madinaty,Fiat,Tipo Hatchback,2021,83000.0,Automatic,1100000.0,,https://contactcars.com/en/used-cars/fiat-tipo_hatchback/a43d9cbba360?status=Used
كروز فابريكة بره وجوه كلها للبيع او للبدل,Giza,6th of October,Chevrolet,Cruze,2015,155000.0,Automatic,590000.0,,https://contactcars.com/en/used-cars/chevrolet-cruze/89255c880738?status=Used
كدجار اعلي فئة,Cairo,Madinaty,Renault,Kadjar,2018,150000.0,Automatic,925000.0,,https://contactcars.com/en/used-cars/renault-kadjar/95bd1f3a2739?status=Used
BMW 523i موديل ٢٠٠٨ حالة ممتازة,Cairo,Mokattam,BMW,523i,2008,200000.0,Automatic,950000.0,,https://contactcars.com/en/used-cars/bmw-523i/a8b44ccfbbdb?status=Used
مرسيدس E250 موديل 2010 بحاله ممتازه جدا,Cairo,Mokattam,Mercedes,E 250,2010,140.0,Automatic,1950000.0,,https://contactcars.com/en/used-cars/mercedes-e_250/8dd042dbc380?status=Used
شيفرولية لانوس حالة جيدة كامله منوال رخصه 3 سنوات,Cairo,Mataria,Chevrolet,Lanos,2010,170000.0,Manual,300000.0,,https://contactcars.com/en/used-cars/chevrolet-lanos/b47a54f141bd?status=Used
جراند شيروكى ليمتد ٢٠١٤ حالة ممتازة,Cairo,Mokattam,Jeep,Grand Cherokee,2014,150000.0,Automatic,2200000.0,,https://contactcars.com/en/used-cars/jeep-grand_cherokee/1def83094fa5?status=Used
حاله شاذه,Cairo,Rehab City,OPEL,Grand Land,2021,59000.0,Automatic,1700000.0,340000.0,https://contactcars.com/en/used-cars/opel-grand_land/ee773d445de3?status=Used
أفيو بحالة ممتازة جدا فابريكا دواخل وسقف راشة بره بالكامل,Cairo,Mataria,Chevrolet,Aveo,2013,213000.0,Manual,320000.0,,https://contactcars.com/en/used-cars/chevrolet-aveo/dfae11dd1bba?status=Used
بيچو 3008 GT Line red interior,Cairo,Mokattam,Peugeot,3008,2022,30000.0,Automatic,1190000.0,,https://contactcars.com/en/used-cars/peugeot-3008/3b0c25ce71de?status=Used
سكودا فورمان للبيع,Giza,6th of October,Skoda,Forman,1994,200000.0,Manual,110000.0,,https://contactcars.com/en/used-cars/skoda-forman/61c376b800d0?status=Used
جولف 2 كوبية فبريكا اول مالك من الزيرو,Cairo,New Cairo & 5th Settlement,Volkswagen,Golf,1989,100000.0,Manual,170000.0,,https://contactcars.com/en/used-cars/volkswagen-golf/fb5a4cf5c001?status=Used
x4 بحالة ممتازة,Alexandria,Roushdy,BMW,X4,2016,68000.0,Automatic,2700000.0,,https://contactcars.com/en/used-cars/bmw-x4/3d50f84ed37e?status=Used
Red and Black Citroen,Cairo,New Cairo & 5th Settlement,Citroen,C3 Aircross,2019,78000.0,Automatic,1200000.0,240000.0,https://contactcars.com/en/used-cars/citroen-c3_aircross/fd12c4782ab0?status=Used
reno megan 2,Minya,Minya,Renault,Megane,2006,117000.0,Automatic,325000.0,,https://contactcars.com/en/used-cars/renault-megane/0fb329010739?status=Used
هيونداي النترا CN7 ممتازة,South Sinai,Sharm El-Shaikh,Hyundai,Elantra CN7,2022,65000.0,Automatic,1500000.0,300000.0,https://contactcars.com/en/used-cars/hyundai-elantra_cn7/055f408a8d2c?status=Used
فيات تيبو بحاله ممتازه,Eastern,Minia al-Qamh,Fiat,Tipo,2022,105146.0,Automatic,950000.0,,https://contactcars.com/en/used-cars/fiat-tipo/4fa4b7a42102?status=Used
لانسر بومه ٢٠٠٧ اوتوماتيك ١٦٠٠ سوبر اكشن,Qalyubia,Benha,Mitsubishi,Lancer,2007,210000.0,Automatic,550000.0,,https://contactcars.com/en/used-cars/mitsubishi-lancer/0496f4c9a6d6?status=Used
جيلي gx3 pro,Cairo,Nasr City,Geely,GX3 PRO,2024,15000.0,Automatic,800000.0,,https://contactcars.com/en/used-cars/geely-gx3_pro/6dca5579b62a?status=Used
كيا سول ٢٠١٥,Qalyubia,Benha,Kia,Soul,2015,220000.0,Automatic,950000.0,,https://contactcars.com/en/used-cars/kia-soul/48ae0f10ed71?status=Used
Mg3 model 2012,Cairo,New Capital,MG,MG 3,2012,130000.0,Automatic,450000.0,,https://contactcars.com/en/used-cars/mg-mg_3/6c035b13c9a4?status=Used
BMW X1 فابريقة بالكامل لا تحتاج أي مصروف,Cairo,New Cairo & 5th Settlement,BMW,X1,2018,125000.0,Automatic,1700000.0,,https://contactcars.com/en/used-cars/bmw-x1/1fddee63b0ef?status=Used
mercedes E200 2010 fully lodad factory paint,Cairo,New Cairo & 5th Settlement,Mercedes,E200,2010,70000.0,Automatic,999999.0,,https://contactcars.com/en/used-cars/mercedes-e200/9587e35fa81e?status=Used
maserati quatroporti factory paint all service done,Cairo,New Cairo & 5th Settlement,Maserati,Quattroporte,2007,90000.0,Automatic,900000.0,,https://contactcars.com/en/used-cars/maserati-quattroporte/f1215eabfd89?status=Used
ام جي 6 ٢٠٢٠ للبيع,Cairo,El Sherouk City,MG,6,2020,112000.0,Automatic,800000.0,,https://contactcars.com/en/used-cars/mg-6/c8d82e761661?status=Used
فابريكه من الداخل و الخارج,Giza,El Mohndseen,Chevrolet,Aveo,2006,155000.0,Manual,270000.0,,https://contactcars.com/en/used-cars/chevrolet-aveo/f728977ee20d?status=Used
cn7 2022,Giza,Sheikh Zayed,Hyundai,Elantra CN7,2022,51000.0,Automatic,1120000.0,224000.0,https://contactcars.com/en/used-cars/hyundai-elantra_cn7/05e3b4d3ef30?status=Used
C180 - 2015 - Avengard,Giza,6th of October,Mercedes,C180,2015,186000.0,Automatic,2000000.0,,https://contactcars.com/en/used-cars/mercedes-c180/5e7c6790a195?status=Used
BMW -X1,Giza,6th of October,BMW,X1,2020,131000.0,Automatic,2050000.0,,https://contactcars.com/en/used-cars/bmw-x1/28bbebd24615?status=Used
سيات ابيزا فبريكا ٢٠١٥,Cairo,New Cairo & 5th Settlement,Seat,Ibiza,2015,109000.0,Automatic,670000.0,,https://contactcars.com/en/used-cars/seat-ibiza/31e02871bf21?status=Used
Jac J7 2024 8000 KM,Cairo,New Cairo & 5th Settlement,JAC,J7,2024,8000.0,Automatic,1160000.0,,https://contactcars.com/en/used-cars/jac-j7/4b67794b1b31?status=Used
Jaguar xj,Alexandria,King Mariout,Jaguar,XJ,2012,130000.0,Automatic,2400000.0,,https://contactcars.com/en/used-cars/jaguar-xj/dc6442c9776a?status=Used
جيب رينجيد كسر زيرو ١٩ الف كم فقط,Cairo,Nasr City,Jeep,Renegade,2021,19000.0,Automatic,1650000.0,330000.0,https://contactcars.com/en/used-cars/jeep-renegade/b5898f93977c?status=Used
كيا k3 وارد كوريا,Eastern,Zagazig,Kia,Grand Cerato,2022,39000.0,Automatic,1300000.0,260000.0,https://contactcars.com/en/used-cars/kia-grand_cerato/acaad54240bf?status=Used
بيجو 508 – موديل 2014 حالة ممتازة,Cairo,New Cairo & 5th Settlement,Peugeot,508,2014,300000.0,Automatic,670000.0,,https://contactcars.com/en/used-cars/peugeot-508/cd5d76df3f05?status=Used
S350 2009,Hurghada,El Gouna,Mercedes,S350,2009,290000.0,Automatic,2250000.0,,https://contactcars.com/en/used-cars/mercedes-s350/fb1ed6e289d6?status=Used
دايو نوبيرا 2009 كامله مانيوال,Alexandria,Sidi Bishr,Daewoo,Nubira,2009,25000.0,Manual,268000.0,,https://contactcars.com/en/used-cars/daewoo-nubira/50fd0cc9b696?status=Used
جيلى ام جراند ٢٠١٤ فبريكا,Cairo,Badr City,Geely,Emgrand 7,2014,300000.0,Manual,285000.0,,https://contactcars.com/en/used-cars/geely-emgrand_7/8554508cf4df?status=Used
سياره فيرنا 2010 كامله مانيوال,Giza,El Haram,Hyundai,Verna 1.6,2010,153000.0,Manual,330000.0,,https://contactcars.com/en/used-cars/hyundai-verna_1.6/5e500308c7a6?status=Used
شيفورليه لانوس ٢٠٠٨ فبريقة بالكامل للبيع,Ismailia,Sheikh Zayed,Chevrolet,Lanos,2009,300000.0,Manual,270000.0,,https://contactcars.com/en/used-cars/chevrolet-lanos/369d2714e6d5?status=Used
هيونداي اتش دي كسر الزيرو,Cairo,Nasr City,Hyundai,HD260,2023,950.0,Automatic,920000.0,184000.0,https://contactcars.com/en/used-cars/hyundai-hd260/ef6d259a021f?status=Used
g20 بحاله الزيرو داخل الضمان,Alexandria,Roushdy,BMW,320i,2020,34000.0,Automatic,2500000.0,500000.0,https://contactcars.com/en/used-cars/bmw-320i/206e67ff6003?status=Used
هيونداي اكسنت 2015,Cairo,Nasr City,Hyundai,Accent,2015,200.0,Automatic,244000.0,,https://contactcars.com/en/used-cars/hyundai-accent/96e4b12e05d8?status=Used
نيسان قشقاى بحاله ممتازه,Cairo,Shoubra,Nissan,Qashqai,2021,73000.0,Automatic,1100000.0,220000.0,https://contactcars.com/en/used-cars/nissan-qashqai/2c2dbfe7b0be?status=Used
CLA200للبيع موديل 2023ضمان الوكيل,Giza,6th of October,Mercedes,CLA 200,2023,400.0,Automatic,3200000.0,640000.0,https://contactcars.com/en/used-cars/mercedes-cla_200/c364ec54b6f0?status=Used
